STN,DATE,TIME,DEWP,STP,TEMP,SLP,VISIB,WDSP,PRCP,SNDP,FRSHTT,CLDC,WNDDIR
354260,2019-01-24,11:25:06,-16.5,1022.5,7.0,1031.8,47.2,8.9,0.00,2.8,101000,64.9,333
309650,2019-01-24,11:25:06,-18.3,1006.8,7.0,1029.5,39.3,7.3,0.00,1.9,101000,72.0,14
701740,2019-01-24,11:25:06,-26.1,993.2,7.0,1010.5,24.1,14.9,0.02,17.5,111000,64.4,0
173200,2019-01-24,11:25:06,-1.1,1018.7,7.0,1019.5,23.4,6.0,0.00,0.0,000000,50.1,128
102810,2019-01-24,11:25:06,-3.2,1010.1,7.0,1020.9,8.3,16.1,0.02,0.2,111000,50.1,230
717280,2019-01-24,11:25:06,-14.2,989.2,7.0,1012.5,23.7,13.1,0.11,12.8,111000,56.9,148
701730,2019-01-24,11:25:06,-31.2,960.8,7.0,1010.4,17.7,4.8,0.00,0.0,100000,50.0,349
561960,2019-01-24,11:25:06,1.9,1018.2,7.0,1024.6,11.0,4.2,0.02,0.0,010000,83.8,292
384390,2019-01-24,11:25:06,-3.3,1006.9,7.0,1025.9,11.1,3.1,0.15,0.5,111000,67.9,222
686180,2019-01-24,11:25:06,-5.2,904.9,7.0,909.4,24.8,14.1,0.00,0.0,000000,46.9,241
20440,2019-01-24,11:25:06,-11.2,984.1,7.0,1005.4,14.7,9.2,0.04,9.5,111000,52.2,159
315130,2019-01-24,11:25:06,-12.9,1023.4,7.0,1023.5,35.5,6.1,0.00,1.0,101000,50.3,77
722340,2019-01-24,11:25:06,-4.8,1010.9,7.0,1019.7,19.4,17.1,0.43,0.0,010000,90.2,344
722362,2019-01-24,11:25:06,-2.5,1001.5,7.0,982.1,16.1,10.0,0.00,0.0,000000,97.1,254
722363,2019-01-24,11:25:06,-9.3,997.7,7.0,967.9,15.9,9.8,0.00,0.0,000000,24.7,215
26050,2019-01-24,11:25:06,1.7,979.6,7.0,970.2,4.6,43.7,0.42,0.0,010000,69.9,329
722361,2019-01-24,11:25:06,5.7,995.6,8.0,963.6,16.6,11.9,0.00,0.0,000000,16.8,8
722366,2019-01-24,11:25:06,-0.2,1019.6,7.0,1022.7,16.3,14.5,0.15,0.0,010000,70.7,23
722364,2019-01-24,11:25:06,-5.2,974.0,7.0,1001.6,16.7,21.6,0.00,0.0,100000,68.0,136
60490,2019-01-24,11:25:06,-0.5,1001.6,7.0,1012.4,10.3,36.2,0.00,0.0,000000,23.2,104
722354,2019-01-24,11:25:06,-7.9,1025.6,7.0,1024.4,14.9,11.1,0.11,0.0,110000,51.5,57
722358,2019-01-24,11:25:06,-3.6,1020.3,7.0,1019.9,10.9,9.2,0.33,0.0,010000,59.6,63
485650,2019-01-24,11:25:06,24.8,1011.2,7.0,1009.9,10.6,13.0,0.09,0.0,010000,84.2,152
66304,2019-01-24,11:25:06,-13.1,995.9,7.0,1007.5,10.2,8.7,0.00,0.0,100000,73.1,238
268500,2019-01-24,11:25:06,-8.8,1005.5,7.0,1014.2,7.3,12.7,0.10,4.0,111000,76.5,341
485660,2019-01-24,11:25:06,25.2,980.1,7.0,1011.6,15.9,5.2,0.00,0.0,000000,27.0,66
160450,2019-01-24,11:25:06,-5.4,1014.2,7.0,1020.3,3.5,4.3,0.00,0.0,100000,45.6,213
221650,2019-01-24,11:25:06,-10.0,1008.8,7.0,1007.8,14.6,33.8,0.08,7.1,111000,58.3,231
858740,2019-01-24,11:25:06,0.0,958.5,6.5,1007.1,24.7,34.6,0.04,0.0,010000,97.3,295
485640,2019-01-24,11:25:06,26.4,995.6,6.9,1009.0,9.3,5.6,0.05,0.0,010000,53.9,201
66330,2019-01-24,11:25:06,-4.1,977.3,6.9,1025.4,11.7,3.6,0.08,0.6,111000,60.4,262
21670,2019-01-24,11:25:06,-5.4,1033.6,6.9,1004.5,38.1,14.0,0.00,0.0,100000,96.9,253
541810,2019-01-24,11:25:06,-39.8,1053.0,6.9,1034.0,21.7,3.3,0.06,0.0,110000,51.7,135
285980,2019-01-24,11:25:06,-18.7,1024.0,6.9,1026.7,31.8,9.1,0.03,4.4,111000,50.6,358
101260,2019-01-24,11:25:06,-1.7,1006.1,6.9,1009.1,10.5,20.7,0.00,0.0,100000,4.2,147
39050,2019-01-24,11:25:06,1.0,1019.5,6.9,1010.5,15.8,14.3,0.20,1.0,011000,51.9,265
21960,2019-01-24,11:25:06,-6.8,1008.0,6.9,1010.7,41.2,7.6,0.06,16.7,111000,72.6,31
944810,2019-01-24,11:25:06,-6.3,1002.0,6.9,1006.8,18.0,12.5,0.00,0.0,000000,55.3,95
876450,2019-01-24,11:25:06,6.8,989.6,6.9,1010.5,15.9,12.0,0.16,1.4,010000,50.7,16
788580,2019-01-24,11:25:06,16.6,1010.2,6.9,1016.2,22.1,19.5,0.06,0.0,010000,75.5,97
330410,2019-01-24,11:25:06,-6.5,1012.9,6.9,1019.3,5.7,17.2,0.18,2.5,111000,50.2,50
101360,2019-01-24,11:25:06,-2.2,1006.7,6.9,1006.8,9.4,25.2,0.01,0.0,110000,58.9,160
742071,2019-01-24,11:25:06,-8.9,1015.6,6.9,1009.4,11.6,2.4,0.00,0.0,100000,13.7,18
30220,2019-01-24,11:25:06,-0.4,1011.8,6.9,1005.4,32.6,28.1,0.16,0.1,011000,53.0,45
742070,2019-01-24,11:25:06,-1.0,1012.0,6.9,1018.0,12.6,6.3,0.14,0.0,010000,89.0,333
308120,2019-01-24,11:25:06,-18.5,1038.4,6.9,1034.4,18.9,11.8,0.00,0.2,101000,54.3,333
478160,2019-01-24,11:25:06,-2.0,1018.8,6.9,1022.5,20.3,12.4,0.15,0.0,010000,50.9,300
533360,2019-01-24,11:25:06,-16.8,910.5,6.9,1034.4,26.0,10.8,0.00,0.0,100000,56.2,236
726650,2019-01-24,11:25:06,-12.1,1009.3,6.9,1007.0,25.6,26.4,0.00,0.0,100000,73.1,90
742077,2019-01-24,11:25:06,-13.4,979.8,6.9,990.3,11.6,3.7,0.00,0.0,100000,46.0,347
742079,2019-01-24,11:25:06,-7.1,993.0,6.9,974.5,16.8,3.7,0.00,0.0,100000,54.4,259
726654,2019-01-24,11:25:06,-13.5,1007.0,6.9,1013.7,18.6,23.3,0.00,0.0,100000,74.7,329
378640,2019-01-24,11:25:06,-0.8,1009.5,6.9,1005.3,8.4,23.1,0.00,0.0,100000,99.2,35
160590,2019-01-24,11:25:06,-6.0,988.5,6.9,1018.0,5.1,7.8,0.20,0.0,110000,83.8,227
378650,2019-01-24,11:25:06,-13.3,998.9,6.9,972.9,12.5,17.3,0.00,0.0,100000,20.7,80
299230,2019-01-24,11:25:06,-15.1,1005.9,6.9,1027.4,26.0,14.2,0.03,22.7,111000,51.2,296
784390,2019-01-24,11:25:06,13.4,1013.5,6.9,1016.3,107.5,8.0,0.00,0.0,000000,81.7,184
66303,2019-01-24,11:25:06,-4.7,1005.4,6.9,1001.6,5.8,3.7,0.00,0.0,100000,92.3,111
524360,2019-01-24,11:25:06,-15.0,865.1,6.9,1033.6,29.5,12.6,0.00,0.0,100000,77.6,290
66300,2019-01-24,11:25:06,-6.9,987.5,6.9,985.4,12.5,5.2,0.00,0.0,100000,66.2,186
470050,2019-01-24,11:25:06,-14.7,899.8,6.9,906.7,19.7,3.2,0.00,3.4,101000,51.2,53
21810,2019-01-24,11:25:06,-2.4,983.5,6.9,989.9,21.7,9.7,0.05,0.0,110000,50.8,127
548360,2019-01-24,11:25:06,-11.2,1026.5,6.9,1028.9,13.1,6.9,0.02,0.0,110000,52.9,13
102910,2019-01-24,11:25:06,-4.7,1016.3,6.9,1016.8,3.6,8.5,0.07,0.0,110000,69.1,150
173300,2019-01-24,11:25:06,-5.6,1023.3,6.9,1020.2,20.5,10.4,0.06,0.0,010000,50.4,96
228020,2019-01-24,11:25:06,-12.1,1009.5,6.9,1011.1,15.3,8.7,0.26,7.4,111000,52.6,192
71800,2019-01-24,11:25:06,-3.0,1007.6,6.9,1019.6,10.0,11.3,0.13,0.1,111000,96.6,101
981350,2019-01-24,11:25:06,12.1,1017.3,6.9,1017.5,21.6,14.4,0.02,0.0,010000,50.8,160
315100,2019-01-24,11:25:06,-23.4,1022.2,6.9,1024.1,16.6,7.8,0.00,0.4,101000,96.9,289
227980,2019-01-24,11:25:06,-3.5,1006.3,6.9,1004.8,21.2,11.0,0.18,26.4,111000,50.4,330
33480,2019-01-24,11:25:06,-3.5,1016.1,6.9,1026.1,29.7,24.7,0.05,0.0,010000,50.7,17
523230,2019-01-24,11:25:06,-14.5,819.2,6.9,815.1,33.3,14.9,0.00,0.0,100000,13.0,291
